"Name","DNSHostName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion","IPv4Address","Lastlogondate"
"HIEXDXBDC1","HIEXDXBDC1.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)","10.10.10.14","27/12/2022 7:55:24 AM"
"HIEXAPDC1","HIEXAPDC1.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)","10.10.30.14","27/12/2022 11:49:08 AM"
"HIEXSPDC2","HIEXSPDC2.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)","10.10.10.20","28/12/2022 3:41:14 AM"
"CSO-23BF6367CDA","cso-23bf6367cda.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"DXBRZCZC82574CN","DXBRZCZC82574CN.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"ABJAR","Abjar.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"DT00408SM23","DT00408SM23.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,
"DT00408SM22","DT00408SM22.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,
"DT00408SM21","DT00408SM21.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,
"DT00408BQT2","DT00408BQT2.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"DT00408BQT4","DT00408BQT4.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"DT00408BQT1","DT00408BQT1.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"ABJAR-C3B8FD3C3","abjar-c3b8fd3c3.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"ABJAR-ACE1E13A3","abjar-ace1e13a3.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"LT00408ITDEPT","LT00408ITDept.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"ADMINIST-14EA6A","administ-14ea6a.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"ADMINIST-B2D5A7","administ-b2d5a7.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"DXBRZL3X7611","DXBRZL3X7611.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"DXBRZCZC82574CP","DXBRZCZC82574CP.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"RJ-TRNMGR","RJ-TRNMGR.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,
"ABJAR-E15FB509D","abjar-e15fb509d.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"ABJAR-63A25DB91","abjar-63a25db91.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"DXBRZCZC7203HNM","DXBRZCZC7203HNM.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"DELPHI","DELPHI.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,
"DELPHI4-PC","DELPHI4-PC.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,
